Teff    log g  R/Rsun  Mdot       vinf
 (K)    (cgs)        (Msun/yr)   (km/s)
47000.  4.00   11.4   1.20e-06    3074.
n = 2971

  Wavelength      Eddington flux    Continuum   Normalized spectrum
  (Angstroms)     (erg/s/cm2/Hz)  (erg/s/cm2/Hz)

  2.02863501e+03  3.17232194e-03  3.17236362e-03  9.99986887e-01
  2.02735962e+03  3.06498073e-03  3.17504862e-03  9.65333462e-01
  2.02608594e+03  3.17767984e-03  3.17772990e-03  9.99984205e-01
  2.02480969e+03  3.17852921e-03  3.18041653e-03  9.99406517e-01
  2.02353516e+03  3.18304962e-03  3.18309991e-03  9.99984205e-01
  2.02226221e+03  3.18561727e-03  3.18577955e-03  9.99949098e-01
  2.02099084e+03  3.18741379e-03  3.18845594e-03  9.99673128e-01
  2.01972107e+03  3.19109205e-03  3.19112907e-03  9.99988377e-01
  2.01844885e+03  3.19377799e-03  3.19380709e-03  9.99990821e-01
  2.01717834e+03  3.19643668e-03  3.19648208e-03  9.99985814e-01
  2.01590942e+03  3.19912122e-03  3.19915335e-03  9.99989986e-01
  2.01464209e+03  3.20170401e-03  3.20182135e-03  9.99963343e-01
  2.01337634e+03  3.20444070e-03  3.20448610e-03  9.99985874e-01
  2.01210815e+03  3.20710661e-03  3.20715574e-03  9.99984682e-01
  2.01084155e+03  3.16657894e-03  3.20982211e-03  9.86527860e-01
  2.00957666e+03  3.21155251e-03  3.21248500e-03  9.99709725e-01
  2.00831335e+03  3.21511156e-03  3.21514462e-03  9.99989688e-01
  2.00705151e+03  3.21777747e-03  3.21780099e-03  9.99992669e-01
  2.00578735e+03  3.22029693e-03  3.22046247e-03  9.99948621e-01
  2.00452466e+03  3.22308764e-03  3.22312023e-03  9.99989808e-01
  2.00326367e+03  3.06177861e-03  3.22577497e-03  9.49160635e-01
  2.00200427e+03  3.22754122e-03  3.22842621e-03  9.99725878e-01
  2.00074646e+03  3.23105487e-03  3.23107420e-03  9.99994040e-01
  1.99948633e+03  3.19504016e-03  3.23377107e-03  9.88023043e-01
  1.99822766e+03  3.18973465e-03  3.23652779e-03  9.85542119e-01
  1.99697070e+03  3.20659694e-03  3.23928148e-03  9.89909947e-01
  1.99571521e+03  3.24332295e-03  3.24203144e-03  1.00039840e+00
  1.99446130e+03  3.24857817e-03  3.24477791e-03  1.00117123e+00
  1.99320508e+03  3.26723838e-03  3.24752973e-03  1.00606883e+00
  1.99195044e+03  3.28836218e-03  3.25027807e-03  1.01171720e+00
  1.99069739e+03  3.26760230e-03  3.25302291e-03  1.00448191e+00
  1.98944592e+03  3.26032238e-03  3.25576426e-03  1.00139999e+00
  1.98819592e+03  3.25997802e-03  3.25850211e-03  1.00045288e+00
  1.98694360e+03  3.21468804e-03  3.26124532e-03  9.85724092e-01
  1.98569287e+03  3.25434026e-03  3.26398481e-03  9.97045100e-01
  1.98444385e+03  3.26673337e-03  3.26672103e-03  1.00000381e+00
  1.98319617e+03  3.26938485e-03  3.26945400e-03  9.99978900e-01
  1.98195020e+03  3.27207800e-03  3.27218324e-03  9.99967873e-01
  1.98070178e+03  3.27498978e-03  3.27491760e-03  1.00002205e+00
  1.97945496e+03  3.23602092e-03  3.27764871e-03  9.87299502e-01
